Wavelength (nm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
195.3951765,8192.0,648.0,641.0,609.0,631.0,645.0,643.0,626.0,657.0,646.0,634.0,645.0,634.0,653.0,634.0,649.0,648.0,646.0,658.0,637.0,644.0,644.0
195.6645041008321,640.0,601.0,604.0,616.0,640.0,606.0,613.0,622.0,592.0,563.0,640.0,640.0,640.0,644.0,640.0,576.0,616.0,576.0,585.0,640.0,607.0,640.0
195.9338235729367,640.0,639.0,616.0,640.0,665.0,640.0,605.0,609.0,612.0,631.0,616.0,657.0,626.0,627.0,633.0,583.0,665.0,662.0,697.0,628.0,640.0,656.0
196.20313491572634,585.0,595.0,601.0,593.0,600.0,601.0,588.0,608.0,595.0,606.0,601.0,604.0,596.0,590.0,606.0,614.0,594.0,594.0,591.0,595.0,599.0,601.0
196.4724381286136,613.0,614.0,612.0,606.0,609.0,619.0,624.0,604.0,626.0,612.0,634.0,626.0,611.0,609.0,620.0,618.0,600.0,629.0,608.0,621.0,622.0,623.0
196.7417332110109,620.0,637.0,630.0,634.0,644.0,644.0,624.0,640.0,643.0,663.0,653.0,649.0,634.0,646.0,643.0,646.0,644.0,627.0,634.0,634.0,642.0,645.0
197.01102016233085,624.0,637.0,648.0,630.0,627.0,649.0,650.0,637.0,633.0,638.0,621.0,636.0,631.0,651.0,647.0,652.0,627.0,638.0,644.0,635.0,630.0,642.0
197.28029898198596,624.0,644.0,637.0,647.0,626.0,640.0,641.0,637.0,642.0,635.0,618.0,620.0,648.0,625.0,635.0,634.0,633.0,632.0,645.0,642.0,625.0,648.0
197.54956966938872,612.0,646.0,637.0,647.0,624.0,641.0,623.0,646.0,643.0,622.0,620.0,650.0,624.0,630.0,620.0,634.0,641.0,633.0,637.0,638.0,630.0,640.0
197.81883222395172,619.0,648.0,643.0,652.0,630.0,645.0,644.0,657.0,664.0,659.0,649.0,650.0,625.0,654.0,636.0,657.0,653.0,630.0,633.0,645.0,635.0,638.0
198.08808664508737,630.0,634.0,647.0,637.0,639.0,640.0,650.0,641.0,660.0,650.0,637.0,634.0,634.0,649.0,644.0,628.0,651.0,650.0,646.0,641.0,634.0,629.0
198.35733293220832,638.0,639.0,652.0,633.0,643.0,639.0,651.0,664.0,633.0,652.0,627.0,646.0,641.0,640.0,648.0,624.0,644.0,646.0,661.0,639.0,639.0,636.0
198.626571084727,637.0,628.0,652.0,621.0,627.0,633.0,640.0,632.0,633.0,651.0,611.0,646.0,624.0,633.0,642.0,630.0,647.0,641.0,645.0,646.0,625.0,630.0
198.895801102056,635.0,644.0,650.0,632.0,630.0,635.0,645.0,637.0,647.0,638.0,637.0,658.0,622.0,632.0,652.0,638.0,654.0,639.0,635.0,631.0,633.0,641.0
199.1650229836078,634.0,630.0,650.0,642.0,637.0,637.0,628.0,638.0,643.0,631.0,644.0,633.0,648.0,634.0,636.0,641.0,643.0,648.0,623.0,627.0,644.0,649.0
