Wavelength (nm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
195.3951765,646.0,649.0,646.0,650.0,650.0,644.0,647.0,642.0,643.0,641.0,645.0,642.0,647.0,644.0,654.0,637.0,648.0,651.0,666.0,652.0,648.0,631.0,651.0,646.0,649.0,644.0,640.0,635.0,650.0,646.0,653.0,645.0,651.0,635.0,646.0
195.6645041008321,641.0,619.0,597.0,612.0,640.0,606.0,614.0,619.0,591.0,618.0,640.0,569.0,601.0,662.0,578.0,611.0,589.0,640.0,640.0,614.0,600.0,576.0,606.0,613.0,640.0,570.0,607.0,619.0,640.0,640.0,576.0,640.0,579.0,614.0,640.0
195.9338235729367,664.0,640.0,621.0,622.0,618.0,639.0,618.0,579.0,647.0,633.0,617.0,631.0,617.0,596.0,644.0,566.0,608.0,603.0,577.0,640.0,617.0,626.0,625.0,677.0,644.0,619.0,630.0,662.0,589.0,606.0,657.0,670.0,632.0,645.0,645.0
196.20313491572634,593.0,596.0,597.0,601.0,607.0,602.0,598.0,602.0,598.0,593.0,601.0,596.0,591.0,623.0,604.0,594.0,600.0,605.0,600.0,599.0,619.0,586.0,613.0,610.0,598.0,604.0,597.0,598.0,615.0,600.0,603.0,603.0,602.0,579.0,592.0
196.4724381286136,623.0,620.0,606.0,621.0,619.0,622.0,602.0,632.0,617.0,623.0,623.0,619.0,610.0,632.0,614.0,605.0,620.0,611.0,626.0,622.0,621.0,608.0,621.0,622.0,605.0,627.0,607.0,611.0,617.0,607.0,603.0,620.0,613.0,598.0,602.0
196.7417332110109,644.0,636.0,642.0,644.0,646.0,648.0,630.0,641.0,623.0,646.0,650.0,633.0,640.0,642.0,643.0,647.0,627.0,648.0,649.0,637.0,648.0,633.0,627.0,631.0,637.0,655.0,641.0,637.0,633.0,634.0,634.0,635.0,648.0,655.0,639.0
197.01102016233085,619.0,648.0,639.0,641.0,622.0,648.0,644.0,622.0,638.0,651.0,662.0,629.0,625.0,647.0,639.0,616.0,631.0,641.0,632.0,629.0,637.0,634.0,627.0,630.0,638.0,622.0,633.0,636.0,644.0,645.0,630.0,645.0,638.0,622.0,636.0
197.28029898198596,647.0,654.0,646.0,654.0,643.0,654.0,642.0,636.0,646.0,646.0,653.0,637.0,641.0,636.0,658.0,632.0,644.0,638.0,650.0,634.0,628.0,638.0,641.0,646.0,641.0,632.0,636.0,641.0,648.0,635.0,641.0,660.0,642.0,641.0,642.0
197.54956966938872,630.0,629.0,617.0,635.0,663.0,648.0,619.0,638.0,650.0,631.0,620.0,633.0,653.0,621.0,647.0,630.0,641.0,632.0,634.0,634.0,616.0,648.0,623.0,634.0,645.0,643.0,635.0,629.0,631.0,618.0,638.0,621.0,640.0,628.0,645.0
197.81883222395172,648.0,657.0,633.0,643.0,652.0,652.0,647.0,637.0,666.0,644.0,658.0,636.0,642.0,637.0,657.0,630.0,639.0,653.0,629.0,644.0,638.0,654.0,628.0,649.0,621.0,651.0,651.0,628.0,653.0,621.0,625.0,637.0,649.0,637.0,645.0
