Wavelength (nm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
195.3951765,633.0,641.0,645.0,640.0,634.0,648.0,637.0,652.0,642.0,648.0,647.0,636.0,644.0,653.0,650.0,648.0,632.0,625.0,638.0,654.0,638.0,652.0
195.6645041008321,606.0,568.0,607.0,640.0,654.0,644.0,586.0,605.0,642.0,599.0,589.0,599.0,620.0,580.0,596.0,644.0,613.0,606.0,640.0,621.0,570.0,597.0
195.9338235729367,629.0,640.0,635.0,623.0,647.0,622.0,589.0,619.0,625.0,665.0,640.0,640.0,622.0,640.0,646.0,668.0,592.0,639.0,616.0,670.0,640.0,615.0
196.20313491572634,601.0,592.0,600.0,579.0,604.0,603.0,598.0,604.0,595.0,605.0,599.0,587.0,596.0,603.0,618.0,604.0,597.0,598.0,609.0,608.0,592.0,610.0
196.4724381286136,626.0,609.0,614.0,603.0,616.0,613.0,624.0,612.0,622.0,610.0,618.0,596.0,629.0,624.0,618.0,615.0,610.0,608.0,622.0,610.0,604.0,623.0
196.7417332110109,626.0,644.0,635.0,652.0,634.0,637.0,637.0,646.0,638.0,643.0,653.0,622.0,655.0,638.0,629.0,644.0,637.0,654.0,644.0,635.0,629.0,638.0
197.01102016233085,632.0,650.0,643.0,643.0,634.0,645.0,631.0,643.0,634.0,631.0,654.0,628.0,637.0,647.0,633.0,612.0,630.0,660.0,641.0,633.0,626.0,634.0
197.28029898198596,642.0,634.0,648.0,647.0,643.0,623.0,644.0,645.0,632.0,619.0,673.0,633.0,643.0,646.0,658.0,612.0,634.0,650.0,631.0,645.0,637.0,643.0
197.54956966938872,646.0,626.0,640.0,649.0,636.0,650.0,629.0,641.0,633.0,633.0,637.0,630.0,643.0,617.0,654.0,631.0,628.0,631.0,632.0,635.0,659.0,632.0
197.81883222395172,654.0,642.0,649.0,638.0,639.0,649.0,637.0,655.0,644.0,636.0,646.0,644.0,634.0,644.0,650.0,634.0,651.0,642.0,635.0,639.0,642.0,636.0
198.08808664508737,661.0,648.0,629.0,644.0,658.0,645.0,642.0,633.0,634.0,641.0,656.0,659.0,648.0,649.0,660.0,645.0,644.0,641.0,647.0,646.0,653.0,644.0
198.35733293220832,643.0,650.0,632.0,658.0,631.0,645.0,646.0,654.0,647.0,650.0,650.0,643.0,653.0,644.0,653.0,645.0,631.0,632.0,637.0,642.0,638.0,647.0
198.626571084727,625.0,634.0,645.0,638.0,625.0,658.0,644.0,646.0,638.0,665.0,647.0,630.0,642.0,645.0,638.0,634.0,659.0,632.0,645.0,645.0,632.0,643.0
198.895801102056,644.0,624.0,640.0,633.0,623.0,636.0,645.0,642.0,633.0,648.0,670.0,638.0,638.0,641.0,641.0,648.0,656.0,643.0,656.0,648.0,643.0,648.0
199.1650229836078,631.0,636.0,644.0,649.0,642.0,630.0,638.0,635.0,646.0,638.0,649.0,627.0,639.0,652.0,658.0,648.0,641.0,652.0,644.0,642.0,648.0,638.0
199.43423672879496,658.0,646.0,638.0,636.0,655.0,634.0,649.0,649.0,637.0,642.0,655.0,633.0,643.0,646.0,657.0,636.0,634.0,650.0,626.0,650.0,641.0,641.0
199.70344233702997,643.0,642.0,636.0,621.0,643.0,633.0,642.0,652.0,647.0,647.0,657.0,636.0,638.0,619.0,640.0,626.0,634.0,666.0,645.0,656.0,652.0,629.0
199.9726398077254,651.0,655.0,642.0,637.0,651.0,661.0,644.0,651.0,650.0,649.0,669.0,643.0,651.0,647.0,660.0,660.0,650.0,655.0,660.0,649.0,661.0,643.0
200.24182914029373,642.0,642.0,636.0,636.0,640.0,643.0,649.0,640.0,640.0,626.0,663.0,624.0,662.0,634.0,652.0,644.0,647.0,646.0,643.0,661.0,650.0,655.0
200.51101033414747,655.0,652.0,658.0,645.0,660.0,657.0,639.0,662.0,652.0,641.0,668.0,641.0,664.0,663.0,669.0,652.0,663.0,666.0,644.0,651.0,674.0,664.0
200.7801833886992,653.0,645.0,644.0,659.0,663.0,640.0,649.0,662.0,646.0,653.0,662.0,669.0,645.0,647.0,653.0,646.0,639.0,641.0,667.0,652.0,664.0,648.0
201.04934830336143,671.0,675.0,665.0,661.0,681.0,660.0,676.0,661.0,664.0,665.0,662.0,662.0,661.0,666.0,674.0,666.0,650.0,661.0,657.0,664.0,668.0,658.0
201.31850507754663,661.0,662.0,669.0,643.0,661.0,656.0,647.0,656.0,660.0,648.0,657.0,662.0,649.0,654.0,665.0,642.0,655.0,672.0,668.0,654.0,642.0,651.0
201.58765371066738,658.0,660.0,674.0,649.0,670.0,645.0,652.0,672.0,651.0,676.0,650.0,670.0,664.0,663.0,664.0,651.0,669.0,669.0,671.0,664.0,637.0,652.0
201.85679420213623,638.0,656.0,651.0,649.0,661.0,637.0,643.0,656.0,629.0,663.0,648.0,650.0,651.0,652.0,660.0,654.0,659.0,652.0,632.0,641.0,663.0,645.0
202.1259265513656,653.0,672.0,661.0,667.0,644.0,649.0,638.0,639.0,665.0,665.0,659.0,661.0,649.0,662.0,657.0,644.0,672.0,651.0,659.0,651.0,667.0,643.0
202.39505075776813,661.0,682.0,670.0,660.0,652.0,647.0,639.0,651.0,666.0,661.0,646.0,664.0,663.0,668.0,652.0,643.0,654.0,664.0,657.0,668.0,662.0,658.0
202.6641668207563,666.0,679.0,654.0,666.0,669.0,641.0,666.0,650.0,646.0,662.0,659.0,671.0,661.0,670.0,662.0,671.0,652.0,654.0,663.0,661.0,661.0,669.0
202.9332747397426,657.0,666.0,643.0,642.0,649.0,648.0,649.0,635.0,654.0,651.0,651.0,659.0,658.0,663.0,646.0,662.0,651.0,647.0,658.0,655.0,646.0,643.0
203.2023745141396,666.0,667.0,672.0,663.0,656.0,652.0,669.0,665.0,658.0,668.0,678.0,652.0,677.0,667.0,659.0,684.0,678.0,661.0,656.0,659.0,676.0,674.0
203.4714661433598,666.0,660.0,658.0,666.0,658.0,665.0,666.0,657.0,669.0,663.0,658.0,647.0,658.0,662.0,654.0,662.0,644.0,650.0,656.0,651.0,657.0,657.0
203.74054962681572,668.0,665.0,652.0,671.0,660.0,671.0,660.0,656.0,680.0,664.0,660.0,648.0,659.0,667.0,663.0,670.0,667.0,642.0,657.0,669.0,658.0,648.0
204.00962496391992,658.0,665.0,645.0,652.0,658.0,649.0,637.0,644.0,642.0,666.0,660.0,655.0,638.0,651.0,638.0,656.0,659.0,643.0,653.0,654.0,674.0,665.0
204.27869215408487,662.0,668.0,657.0,660.0,662.0,652.0,667.0,655.0,656.0,674.0,659.0,658.0,654.0,656.0,659.0,653.0,653.0,651.0,672.0,654.0,665.0,651.0
204.54775119672314,663.0,645.0,664.0,653.0,652.0,654.0,661.0,655.0,663.0,648.0,650.0,658.0,657.0,647.0,652.0,667.0,644.0,653.0,661.0,638.0,646.0,654.0
204.81680209124727,653.0,638.0,674.0,668.0,654.0,638.0,667.0,645.0,650.0,645.0,656.0,648.0,650.0,662.0,665.0,653.0,662.0,653.0,637.0,657.0,663.0,650.0
205.08584483706971,654.0,661.0,650.0,660.0,668.0,631.0,641.0,641.0,655.0,645.0,660.0,656.0,662.0,655.0,657.0,640.0,658.0,645.0,666.0,655.0,654.0,630.0
205.35487943360306,673.0,661.0,660.0,660.0,668.0,653.0,656.0,661.0,648.0,639.0,667.0,649.0,666.0,646.0,658.0,659.0,648.0,649.0,673.0,656.0,662.0,656.0
205.62390588025983,664.0,653.0,648.0,650.0,655.0,665.0,651.0,652.0,635.0,658.0,656.0,648.0,653.0,654.0,660.0,642.0,637.0,650.0,659.0,645.0,656.0,659.0
205.89292417645245,659.0,647.0,655.0,643.0,646.0,631.0,649.0,645.0,637.0,663.0,658.0,641.0,650.0,635.0,667.0,650.0,654.0,661.0,645.0,656.0,660.0,681.0
206.1619343215936,639.0,638.0,643.0,642.0,657.0,645.0,644.0,648.0,672.0,655.0,654.0,646.0,637.0,661.0,652.0,657.0,646.0,644.0,638.0,652.0,658.0,658.0
206.4309363150957,652.0,651.0,662.0,650.0,661.0,653.0,658.0,661.0,658.0,663.0,677.0,652.0,635.0,667.0,662.0,653.0,653.0,642.0,653.0,655.0,658.0,674.0
206.6999301563713,650.0,653.0,649.0,651.0,648.0,657.0,645.0,645.0,644.0,664.0,640.0,665.0,652.0,654.0,672.0,655.0,641.0,634.0,633.0,651.0,652.0,657.0
